timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692910614083,2566,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-27,text,true,,6354,155,88,88,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2566,0,254
1692910613916,2749,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-8,text,true,,6354,155,87,87,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2749,0,243
1692910613948,2745,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-11,text,true,,3261,155,86,86,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2745,0,258
1692910613838,2878,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-1,text,true,,3261,155,85,85,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2878,0,300
1692910613874,2937,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-4,text,true,,3261,155,84,84,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2937,0,272
1692910613961,2884,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-12,text,true,,3261,155,83,83,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2884,0,260
1692910613980,2957,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-14,text,true,,3261,155,82,82,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2957,0,255
1692910614024,3135,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-19,text,true,,3261,155,81,81,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,3135,0,268
1692910614018,3141,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-18,text,true,,6354,155,81,81,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,3141,0,274
1692910614008,3180,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-17,text,true,,9447,155,79,79,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,3180,0,268
1692910614057,3360,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-22,text,true,,3261,155,78,78,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,3360,0,257
1692910614113,3430,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-28,text,true,,12541,155,77,77,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,3430,0,281
1692910614075,3557,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-24,text,true,,3261,155,76,76,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,3557,0,277
1692910614148,3932,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-31,text,true,,15634,155,75,75,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,3932,0,258
1692910614084,4424,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-25,text,true,,6354,155,74,74,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,4424,0,268
1692910614096,4466,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-26,text,true,,9447,155,73,73,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,4466,0,278
1692910614193,4589,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-36,text,true,,12541,155,72,72,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,4589,0,269
1692910614123,4669,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-29,text,true,,21820,155,71,71,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,4669,0,284
1692910614154,4910,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-32,text,true,,18727,155,70,70,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,4910,0,266
1692910614047,5091,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-21,text,true,,15634,155,69,69,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,5091,0,267
1692910614135,5096,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-30,text,true,,18727,155,68,68,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,5095,0,257
1692910614401,5102,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-56,text,true,,24913,155,67,67,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,5099,0,261
1692910614264,5620,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-43,text,true,,21820,155,66,66,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,5618,0,257
1692910614456,5485,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-62,text,true,,24913,155,65,65,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,5481,0,254
1692910614175,5849,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-34,text,true,,28006,155,64,64,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,5848,0,287
1692910614147,6112,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-33,text,true,,31099,155,63,63,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,6095,0,260
